【央视】,#genre#
聊城冠县综合,http://150.138.8.143/00/SNM/CHANNEL00001040/index.m3u8
菏泽郓城新闻,http://150.138.8.143/00/SNM/CHANNEL00001041/index.m3u8
潍坊青州综合,http://150.138.8.143/00/SNM/CHANNEL00001042/index.m3u8
东营广饶新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001043/index.m3u8
日照岚山,http://150.138.8.143/00/SNM/CHANNEL00001044/index.m3u8
潍坊寿光蔬菜,http://150.138.8.143/00/SNM/CHANNEL00001045/index.m3u8
菏泽莘县TV-1,http://150.138.8.143/00/SNM/CHANNEL00001047/index.m3u8
聊城茌平综合,http://150.138.8.143/00/SNM/CHANNEL00001048/index.m3u8
威海乳山TV-1,http://150.138.8.143/00/SNM/CHANNEL00001049/index.m3u8
济南平阴综合,http://150.138.8.143/00/SNM/CHANNEL00001050/index.m3u8
济宁兖州新闻,http://150.138.8.143/00/SNM/CHANNEL00001051/index.m3u8
济宁曲阜新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001052/index.m3u8
威海荣成综合,http://150.138.8.143/00/SNM/CHANNEL00001053/index.m3u8
青岛平度新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001054/index.m3u8
烟台栖霞综合,http://150.138.8.143/00/SNM/CHANNEL00001055/index.m3u8
德州齐河新闻,http://150.138.8.143/00/SNM/CHANNEL00001056/index.m3u8
潍坊青州文化旅游,http://150.138.8.143/00/SNM/CHANNEL00001057/index.m3u8
滨州好生新闻频道,http://150.138.8.143/00/SNM/CHANNEL00001058/index.m3u8
德州武城新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001059/index.m3u8
德州武城综艺影视,http://150.138.8.143/00/SNM/CHANNEL00001060/index.m3u8
德州禹城综合,http://150.138.8.143/00/SNM/CHANNEL00001061/index.m3u8
德州禹城综艺,http://150.138.8.143/00/SNM/CHANNEL00001062/index.m3u8
菏泽定陶TV-1,http://150.138.8.143/00/SNM/CHANNEL00001063/index.m3u8
德州平原新闻,http://150.138.8.143/00/SNM/CHANNEL00001064/index.m3u8
菏泽东明TV-1,http://150.138.8.143/00/SNM/CHANNEL00001065/index.m3u8
泰安新泰乡村,http://150.138.8.143/00/SNM/CHANNEL00001066/index.m3u8
